이수구분,교과명,분반,학점,담당교수,강의시간
교선,문화예술교육개론,01,3,김기란,금13:30-16:30
교선,문화예술교육현장의실습이해와,01,3,황귀영,월13:30-16:30
교선,대중문화와한국역사,01,2,박윤선,월13:30-15:30
교선,대중음악과문화,01,2,김성희,월09:30-11:30
교선,대중음악과문화,02,2,김성희,화09:30-11:30
교선,영화속클래식,01,2,김성희,월11:30-13:30
교선,영화속클래식,02,2,김성희,수09:30-11:30
교선,음악과미술의만남,01,2,김성희,수11:30-13:30
교선,패션과스타일,01,2,이진이,화11:30-13:30
교선,패션과스타일,02,2,이진이,수09:30-11:30
교선,세계의문화코드이해,01,2,김성희,목09:30-11:30
교선,문화와사회현상,01,2,71스나,화11:30-13:30
교선,문화와사회현상,02,2,口 口,목11:30-13:30
교선,커피의세계문화사,01,2,정동준,화13:30-15:30
교선,KoreanCultureandTradition(E),01,2,Sarah Choi,목20:30-21:20
교선,스토리텔링과상상의글쓰기,01,2,박동근,수11:30-13:30
교선,플로어볼,01,2,김세웅,수13:30-15:30
교선,플로어볼,02,2,김세웅,수15:30-17:30
교선,도시와건축문화세계의,01,2,전병권,목13:30-15:30
교선,음악이있는삶,01,2,손영경,수09:30-11:30
교선,세계의영어와문화의이해,01,2,김한규,수15:30-17:30
교선,건강과생활,01,2,으 기,목11:30-13:30
교선,건강과생활,02,2,으 기,목13:30-15:30
교선,예술로읽는문화,01,2,손영경,화13:30-15:30
교선,예술로읽는문화,02,2,손영경,수13:30-15:30
교선,인문과예술의만남,01,2,이혜준,월15:30-17:30
교선,사회봉사l,01,1,김기홍,월15:30-17:30
교선,사회봉사l,02,1,권양이,화15:30-17:30
교선,무기제계론,01,2,한명길,목09:30-11:30
교선,무기제계론,02,2,한명길,목11:30-13:30
교선,성공하는대학생들의7가지습=,01,2,정영웅,월13:30-15:30
교선,성공하는대학생들의7가지습=,02,2,정영웅,화13:30-15:30
교선,장의적문제해결방법론,01,2,이재경,화09:30-11:30
교선,인권과NGO,01,2,정병화,수13:30-15:30
교선,K-POP음악의이해,01,2,권상희,월10:00-12:00
교선,욕망이인간의해,01,2,조용기,월11:30-13:30
교선,욕망이인간의해,02,2,조용기,수11:30-13:30
교선,한류인문학,01,2,조용기,화13:30-15:30
교선,한류인문학,02,2,조용기,목13:30-15:30
교선,비전과인생설계,01,2,조미영,수09:30-11:30
교선,비전과인생설계,02,2,조미영,수11:30-13:30
교선,비전과인생설계,03,2,조미영,월15:30-17:30
교선,비판적사고,01,2,한지영,월11:30-13:30
교선,비판적사고,02,2,한지영,월13:30-15:30
교선,청춘의독서,01,2,이철수,월13:30-15:30
교선,첨단기술과미래산업,01,2,=丁,수13:30-15:30
교선,알면좋은한국사,01,2,박윤선,목15:30-17:30
교선,DMZ의이해,01,2,박영만!,"목13:30-15:30,화09:30-11:30"
교선,DMZ의이해,01,2,문윤경,"화09:30-11:30,목13:30-15:30"
교선,퍼스널브랜딩,02,2,최세용,화11:30-13:30
교선,퍼스널브랜딩,03,2,최세용,화13:30-15:30
교선,퍼스널브랜딩,04,2,최세용,수09:30-11:30
교선,리더십(지휘통솔),05,2,,수11:30-13:30
교선,리더십(지휘통솔),01,2,,화11:30-13:30
교선,리더십(지휘통솔),02,2,,수11:30-13:30
교선,창업과법률,01,2,최용전,금18:25-19:15
교선,"사람,문화,그리고미래",01,2,김덕삼,월21:20-22:10
교선,모두의인공지능,01,3,강태원,
교선,진로길라잡이,01,1,취업강사16,
교선,취업길라잡이,01,1,취업강사17,
교선,스포츠마케팅인사이트,01,2,임기태,수13:30-15:30
교선,인간과장소,01,2,기 더사,수13:30-15:30
교선,인간과장소,02,2,기 더사,수15:30-17:30
교선,4자산업의이해와경력관리,01,2,이대성,월09:30-11:30
교선,4자산업의이해와경력관리,02,2,이대성,월11:30-13:30
교선,4자산업의이해와경력관리,03,2,이대성,월13:30-15:30
교선,장의적기획과문제해결,02,2,조지훈,목13:30-15:30
교선,내삶을위한스토리텔러,01,2,임보연,월09:30-11:30
교선,소통심리학,01,2,신선해,월11:30-13:30
교선,소통심리학,02,2,신선해,화11:30-13:30
교선,신산업융합지식재산,01,2,김현동,금18:25-19:15
교선,직업기초능력의실제,01,2,문윤경,수13:30-15:30
교선,직무역량과비즈니스문제해결,01,2,조지훈,수11:30-13:30
교선,청년의삶과주민자치,01,2,김종래,월13:30-15:30
교선,스포츠산업리포트,01,2,으 지,화09:30-11:30
교선,스포츠산업리포트,02,2,으 지,화11:30-13:30
교선,OFFICE실무,01,2,김지연,수18:25-19:15
교선,인공지능과인터넷윤,01,2,박효진,월13:30-15:30
교선,인공지능과인터넷윤,02,2,박효진,화13:30-15:30
교선,문현정보와리터러시,01,2,나병준,목15:30-17:30
교선,생성형AI기초와활용,01,2,=丁,화09:30-11:30
교선,생성형AI기초와활용,02,2,=丁,수11:30-13:30
교선,웹프로그래밍의기초,01,2,정수경,목09:30-11:30
교선,AI기반프로그래밍입문,01,2,김지연,목15:30-17:30
교선,AI스포츠데이터분석,01,2,임기태,목11:30-13:30
교선,AI와소설감상문쓰기,01,2,정연희,목11:30-13:30
교선,AI와함께하는건강식생활설계,01,2,주신윤,목09:30-11:30
교선,디지시와털사회,01,2,김남선,목13:30-15:30
교선,인공지능법과미래사,01,2,최용전,월15:30-17:30
교선,인공지능법과미래사,02,2,최용전,수15:30-17:30
교선,인공지능의원리와사고,01,2,손방용,목13:30-15:30
교선,포스트휴먼시대의문학과AI,01,2,장해련,화13:30-15:30
교선,인공지능과함께만드는연극,01,2,안정민,금10:00-12:00
교선,AI시대의콘텐츠크리에이션,01,2,71人하 2의,수13:30-15:30
교선,AI시대의콘텐츠크리에이션,02,2,71人하 2의,수15:30-17:30
교선,비전공자를위한AI앱기획과개발,01,2,기 서 겨,목13:30-15:30
교선,비전공자를위한AI앱기획과개발,02,2,기 서 겨,목15:30-17:30
교선,생성형AI를활용한문화콘텐스제작,01,2,김연회,수13:30-15:30
교선,알기쉬운빅데이터와시각화,01,2,김지연,수15:30-17:30
교선,빅데이터분석의이해,01,2,김상오,금13:30-15:30
교선,4자산업혁디어명과미래미,01,2,황지원,월13:30-15:30
교선,비전공자를위한인공지능의이해,01,2,김선경,화15:30-17:30
교선,미래사회와휴먼테크놀로지,01,2,김영주,
교선,데이터관리와분석,01,2,김지연,화11:30-13:30
교직,교육학개론,01,2,김기홍,월11:30-13:30
교직,교육학개론,02,2,김기홍,화11:30-13:30
교직,교육사회,01,2,권양이,목15:30-17:30
교직,교육심리,01,2,권양이,목13:30-15:30
교직,학교폭력예방및학생의이해,01,2,김기홍,수15:30-17:30
