페이지,학과/구분,학년,이수구분,교과번호,교과목명,분반,학점,강의,실습,담당교수,수업시간,강의실,비고
125,IT기계공학과,3,전필 전선 ※ )음영처리 )교과목은 )마이크로전공 )교과목임,572081,파이썬프로그램실습 자동차학개론 기계진동학 메카트로닉스및실습 CAE및실습 임베디드프로그램실습 캡스톤디자인(기계공학) 유압공학,01 02 01 02,2 3 3 3 3 3 3 3 3 3 3,,,김정수 김봉진 정규홍 구본승 정규홍 원현우,금10:00-11:30 목09:30-13:30 목13:30-17:30 수09:30-13:30 수13:30-17:30 금11:30-13:00,정보 09 정보실습실F 공다B 108 - 강의실 공다 A107 - 강의실(공용) 공다A 112 - 자동화실험실 공다 A110 - CAE실 공다 A110 - CAE실 공나B 112 -스마트강의실 공다 A107 - 강의실(공용),11시 전체 첫째날 IT기계 3- 학년만/둘째 날1 1 시전 체
130,사회복지상담학과(야),,,276001,사회복지학개론,,3,,,,,국310 - 국제A/V강의실,미래평생교육융 합대학 재학생만
130,사회복지상담학과(야),1,,276002,상담심리학 사회복지와인권,,3 3,,,,,국311 - 국제A/V강의실 국310 - 국제A/V강의실,미래평생교육융 합대학 재학생만 미래평생교육융 합대학 재학생만 수강가능
130,사회복지상담학과(야),2 3,,276013,뇌와치매 사회복지정책론 건강가정론,,3 3,,,,,국310 - 국제A/V강의실 국311 - 국제A/V강의실 국310 - 국제A/V강의실,사회복지상담학 과 재학생만 수강가능 미래평생교육융 합대학 재학생만 수강가능 미래평생교육융 합대학 재학생만
130,사회복지상담학과(야),2 3,,276021,이상심리,,3 3,,,,,국10 - 국제A/V강의실,수강가능 사회복지상담학 과생만 수강가능 수강가능
130,사회복지상담학과(야),2 3,전선,276029,노인요양보호론,,3,,,,,국10 - 국제A/V강의실,사회복지상담학 과 재학생만 수강가능 수강가능
131,드론산업학과,1 2,,272606,회전익UAV초급운용및실 습 프로그램기초 비가시권계기비행기초,,3 3 3,,,한규정 한규정,,국101 - e-강의실 국101 - e-강의실 국101 - e-강의실,만 수강가능 만 수강가능 만 수강가능
133,한국학과,,,871001,심화한국어1,,3,,,,화16:00-18: 0,인30 - 일반A/V강의실 대교208 - 강의실,한국학과 및 일반학과
133,한국학과,,,871002,학업한국어기초듣기,01 02 03,3 3 3,,,,,대교209 - 강의실 인308 - 일반A/V강의실,한국학과 및 일반학과 외국인만
133,한국학과,,,871003,학업한국어기초말하기 학업한국어기초쓰기,01 02 03 01 02,3 3 3 3 3,,,,,대교207 - 강의실 대교209 - 강의실 인308 - 일반A/V강의실 대교207 - 강의실 대교209 - 강의실,외국인만 수강가능 한국학과 및 일반학과 수강가능 외국인만 일반학과
133,한국학과,1,,871006,학업한국어기초읽기 심화한국어2,01 02,3 3 3,,,,,대교208 - 강의실 대교209 - 강의실 인308 - 일반A/V강의실,일반학과 수강가능 외국인만 한국학과 및 일반학과 외국인만
133,한국학과,1,,871007,학업한국어기초문법,01 02,3 3,,,공하림,월16:00-18: 0,인308 - 일반A/V강의실,수강가능 한국학과 및 일반학과 외국인만
133,한국학과,1,,871010,한국의생활문화와언어,,3,,,,,인308 - 일반A/V강의실,한국학과 및 일반학과 수강가능
133,한국학과,1,,872601,한국어와한국문화초급1,,3,,,,화09:30-12:30,인30 - 일반A/V강의실,한국학과 및 외국인만 일반학과 수강가능
